Left Lane Curve Radius, Right Lane Curve Radius, Car Distance from Center of Lane
1019.08508311,643.249469342,0.243942748704
1553.06066782,602.504198574,0.323670469001
966.430762274,1449.44889511,0.105986124987
1678.49011086,874.749254787,0.28908776392
2174.63461645,919.414223954,0.298772272074
1285.17758513,1246.81372511,0.18559958313
1456.90033691,1769.52403056,0.0665646313362
2591.20717534,925.372202734,0.14853630023
1403.32089068,1284.02382544,0.141783059696
1430.29868889,1057.22156251,0.205733097207
27323.4714923,4064.54983276,0.113975136865
3293.41848369,1441.4671203,0.0389316483194
1698.16048228,8517.10107664,0.0120516881976
1086.26979931,950.985418347,0.207349026827
1303.62545031,5209.65682087,0.00685990921479
1546.46300723,10200.1159082,0.0212349024533
1452.84860031,687.134044036,0.306504763436
2811.63340376,1315.63750945,0.10420693188
1995.93355028,1671.82120378,0.11089653877
2212.5154647,1416.44783462,0.123514846132
1822.70695748,1626.82157904,0.134888204893
3798.68125468,9641.56512905,0.0717533453632
38272.2938842,3163.6130224,0.0534171651992
6032.37932883,1626.59252149,0.200658529946
174574.478891,957.714527638,0.329173567338
5977.50361,690.09821661,0.375552650343
16210.1915062,729.250605814,0.382405399484
3782.49104899,1112.8906101,0.252185798959
3105.19282365,4156.11625279,0.107140832623
1733.8418167,800.97374193,0.297660439077
2364.24238248,298.664589287,0.715919166964
1231.82965851,299.395590556,0.792327128064
1547.41053264,550.8419824,0.49838543557
1442.68053387,3980.68742818,0.112812422514
992.223157886,3390.09721982,0.152253309538
6749.30823154,4052.826619,0.0538466373225
1410.86116862,2324.50405919,0.0365204306526
824.872277875,564.428631804,0.118180376758
5680.29902136,1789.09214922,0.231813144956
1766.15460928,268.916234569,0.714511167136
981.891031336,173.059809485,0.618855232291
897.656276455,337.546907441,1.05909838529
618.142817487,528.956971787,0.936689738269
582.548527279,1636.19523471,0.717262600642
546.231542407,1458.73696673,0.751531490264
522.887583687,964.876913427,0.837582042825
554.436346137,750.610322875,0.866852600088
759.938252448,236.632228462,0.303109991099
467.989340335,187.170208691,0.344470453538
422.981232915,165.687121701,0.429538160837
867.713277805,1926.3345098,0.680462385812
577.515051876,956.189285525,0.888141091212
516.987747022,529.656293461,1.10071966685
514.347516337,450.079489345,1.17889284317
536.445241812,400.881623329,1.2169688479
555.131278243,265.938953323,1.30711512445
633.172403653,275.100043054,1.28093537105
725.039109481,296.448969255,1.27470934363
676.00947631,295.834711363,1.2759383768
650.684252584,337.990811051,1.24259698955
652.909604765,603.518120229,0.975417952001
810.025006235,805.847761358,0.85455846343
622.771097638,693.413619161,0.954005026541
571.43028273,531.288542807,1.05232112041
558.971326265,430.758935891,1.12627268793
533.59802178,444.227527046,1.13075924255
516.400514076,478.195272619,1.11625019265
633.049143125,472.747575208,1.09133620539
856.725663806,681.500160815,0.915471121641
1001.92614502,742.397693522,0.854405027479
1350.22062718,557.927711464,0.87527897434
1492.92760268,476.946538774,0.927415609639
1577.02369722,410.909237277,0.980295100214
2582.2223646,457.082252033,0.881521428995
6190.85988909,541.63883204,0.786238519623
11157.8953864,754.470434464,0.697227786971
19836.1690411,952.224904916,0.672740720328
8468.0184369,1547.80726626,0.341145033355
6323.77721951,754.9143177,0.202947858452
4940.23241458,568.684118543,0.0947969768879
4829.91421787,548.475326849,0.125956638302
1534.92525078,760.596860531,0.281726698423
1136.14617043,753.85712042,0.293999462971
916.586435723,1261.62729869,0.430781707878
876.438521966,2457.63410481,0.659895119601
1118.42216962,913.163960929,0.741114844699
1159.70987425,936.587751877,0.729685258414
1214.86375412,728.992863124,0.788826156909
933.320190709,673.101303001,0.846182314594
651.791815765,826.615427641,0.898706325882
627.364615895,8047.87170406,0.650101828098
593.101269145,1348.56146276,0.530298348807
522.700407924,1801.2664561,0.574138435397
495.244051565,2305.48617524,0.607866576634
480.37592505,6327.44298194,0.669678328239
450.978350829,1191.33603375,0.924256359441
356.153915982,732.641862517,1.17111368465
303.757519862,594.59119214,1.35564107178
249.282275132,493.091246942,1.41231776955
238.629110648,993.720728126,1.17716531774
251.991846841,619.401375141,1.3460429599
302.482185966,604.576934372,1.33985762732
475.144288041,354.071034682,1.33157506133
569.637628483,600.668856086,1.05526464776
689.069771761,1006.76848403,0.860368689978
663.147988973,1371.71712612,0.804129806303
1046.17389981,1124.5922022,0.725835034906
926.532859357,2479.73417746,0.686895909923
789.455753642,4926.62998588,0.607196706309
737.88489322,1452.95146961,0.52051898467
649.937277435,13831.4812682,0.685323210813
571.987827262,1149.22656229,0.874537362009
580.73878905,1038.74024437,0.877936477654
537.695236222,1254.96055182,0.856365069626
539.599998587,1920.87857912,0.798602118143
557.331419842,1868.61698828,0.779267333173
557.650689791,8216.10878321,0.656291796114
517.327200029,1086.02341727,0.5713248101
493.354895438,676.076361441,0.512631408458
370.44165395,353.124341185,0.39748695718
383.881971691,281.29726639,0.277782045221
394.587366386,262.530622496,0.220809138807
382.400727967,230.961739332,0.122738328557
332.178668492,220.992014928,0.119973286283
308.387353571,231.785557874,0.151518768647
276.166152462,262.725088186,0.276683884339
239.209107007,346.666416851,0.336925803548
227.918593618,291.938392145,0.147307522649
222.016695324,319.878923023,0.156937275522
249.930428504,240.614748598,0.0168056996612
238.02345788,122.37438287,0.924790763689
466.43630992,942.573527066,1.44481097553
396.569027424,912.73028961,1.46799316547
1067.37192658,1116.26800301,1.17865556298
678.575513523,964.200274403,0.612920954307
3269.11506146,754.964214056,0.752082925118
1872.8947222,923.356639633,0.856227133751
873.462096624,669.816831692,0.578320985706
522.61201165,1085.31976545,0.573293198473
640.486461943,21174.3082585,0.769413992437
430.809352998,1332.06846582,0.0948021771551
1419.24992269,1158.67917878,0.409682711096
1070.99141697,792.428753643,0.775426790398
569.633476883,519.638579145,1.04900030401
890.687460856,440.695802814,0.983333716952
1865.78793192,441.691255618,0.850117903387
2588.22438245,400.530588285,0.664114214848
2465.70711666,541.698354051,0.553306201027
1981.61077813,654.850889912,0.496846905464
930.789019432,1471.32283663,0.295346613445
947.844753046,2585.62833422,0.181871117811
3786.21330312,799.904080507,0.56964725527
6760.97618413,762.966285343,0.526894930102
14475.0177849,490.275126115,0.664746587796
304249.673128,1775.66137411,0.357626443307
5671.57140448,787.203330783,0.553597907277
3046.17740642,19091.5409639,0.32919600027
2070.92802823,13956.5644037,0.402977107705
1093.52640129,2023.83573227,0.386446766058
1807.22275424,111.457820553,1.37438244548
3232.42857144,340.300062435,0.81733481067
1596.92255551,401.437371636,0.887688018336
1231.52731737,497.398751594,0.823808928952
956.014672714,1010.59679904,0.692039629339
767.641253522,16211.3729966,0.536090101839
734.708773251,1372.74997826,0.443588216205
673.02462436,32641.9021359,0.605930831448
647.759363727,2061.80092952,0.697184357607
568.092544753,1951.38586801,0.766117816358
535.892911247,4562.98442969,0.727056624008
580.245257722,2608.75791165,0.720744372985
612.447826533,6741.70374504,0.655179007153
582.592182836,510.087882294,0.364294710323
614.611355949,425.556893041,0.27303151387
629.733023847,241.573111446,0.0171582946594
806.941285792,207.533363791,0.214915691522
758.612471989,161.871004241,0.451457465157
715.457829658,127.306148212,0.773498557656
626.238028201,116.649462419,0.943422367308
1015.60176887,117.911632665,1.0606509091
849.813784378,131.875108624,0.895959233892
743.549650502,164.579650878,0.633167883185
710.956528893,356.316768115,0.0155162984554
652.292686602,455.455912491,0.121716714082
616.280446585,595.293445174,0.244984796416
676.939601781,720.652584418,0.276679669012
569.480563767,2735.17625828,0.5210253279
524.409688404,376.416061492,0.937921060342
508.825196697,344.164197074,1.10996885805
543.413272208,362.533343411,1.07225177938
513.68916773,482.179619056,1.00621186332
490.329626764,831.15149892,0.902411959703
482.941746426,1128.20906689,0.864088069715
547.118845278,2693.0340238,0.732545885333
518.845312541,8148.94832864,0.715322119264
548.031658572,1521.76326479,0.810641563412
582.145634532,1522.65329365,0.793493186207
644.678760204,1181.71240527,0.795230496145
683.36881878,939.386583433,0.847435510051
746.48619614,707.734481556,0.858238682198
779.313103272,651.513637799,0.856693909927
928.02565022,1030.74108545,0.747641119198
943.034919488,6934.79855999,0.623771907239
943.308179659,1822.31544649,0.484735745712
951.152484171,1246.13732416,0.417189660315
868.897084727,884.809516641,0.380373198941
880.127053638,1623.11423574,0.458208610925
821.667425223,1173.99253565,0.740489535246
724.949130574,583.647911399,0.942259250309
801.401390404,1117.43633891,0.746790307097
942.780653987,1165.690986,0.715133998394
973.133577914,2221.06549576,0.622638325276
995.612862293,4273.59414633,0.551747948949
809.90851319,517.68420522,0.775941898617
872.748836902,337.041703133,0.91676655559
739.925386414,438.645922275,0.793786682061
764.324593708,605.75895598,0.757091831975
918.143867107,1506.60462643,0.620742674309
910.997077841,678.029954708,0.782547107577
789.537887693,718.263741964,0.836210462945
801.417042402,976.10876612,0.773412357232
935.823282576,858.539363572,0.763557412992
988.993332384,1126.50638834,0.680103335245
1281.49816383,1234.2146904,0.658487859466
1317.55008935,1526.48375381,0.609536889162
1492.88887832,4354.21156507,0.420159524246
1274.85558361,2364.60397659,0.396790068589
1325.83321676,1516.62567822,0.289971121392
1579.64696448,744.768125673,0.205514994216
1122.72456896,3737.50197088,0.444721440526
