Left Lane Curve Radius, Right Lane Curve Radius, Car Distance from Center of Lane
2383.78592633,1655.73424931,0.102924325327
3558.08598871,1144.4252378,0.0613939944961
4850.25660248,1362.411561,0.0790693320985
3740.36152027,1515.29053641,0.0716587107307
2776.50697928,1907.57082514,0.0555486407639
2734.18070396,2066.41977376,0.0681983747036
1860.03541418,2467.36552787,0.0173432848047
1572.84070312,4360.34130541,0.0459212146215
1576.39012681,5963.16708811,0.0609428097982
1444.57678965,1069.74625593,0.250951112701
1400.65099653,1327.48114392,0.237606999753
1474.82301304,1349.51824426,0.238032247863
1287.06341109,2660.96107055,0.0712117638712
1580.03029816,2186.35271829,0.0140878448312
1597.07042866,1098.49545106,0.0282253739383
1864.58943785,1235.75664071,0.00664049633627
2164.20708553,1248.88230255,0.0347161869017
2227.46043797,1216.6009225,0.0656691651676
2001.2284096,1226.66112894,0.0801237275232
2013.77655842,1240.53597921,0.087758400952
1893.06742992,1519.43945515,0.0604719301372
1573.2655201,1180.59353049,0.0788864550646
1647.71072024,3826.80851503,0.074639813859
1608.79438644,5416.23932928,0.0759842536053
1464.25443378,5698.74159929,0.0835439345922
1587.42559884,5345.78963454,0.0498059181093
1755.90853737,1775.73467108,0.0536255659292
1807.02584876,1968.6713713,0.0413410410969
1658.22017179,2619.98217867,0.0581969991522
1505.34537252,2371.87330778,0.0538306635034
1652.96525411,2126.12854636,0.0126960778155
1437.24973432,1694.12884151,0.000329892397269
1313.79592225,1561.08044415,0.00340851940855
1269.82124199,1167.92839244,0.0302025519831
1166.31382092,16788.0113719,0.19438047786
1128.28090839,3019.75172217,0.14416692926
1254.91888622,17195.442767,0.159358715877
1122.32797659,1529.71294817,0.0648143058612
1124.82749581,1350.6250231,0.0279449536551
1171.3997268,1084.19294788,0.0852646867527
1230.3809147,1059.8285842,0.0542272127925
1177.12060287,1073.48730327,0.0329476224146
1097.30652611,1161.90161626,0.0364996984456
896.15591212,1111.30205996,0.0358105515846
881.412608103,1064.91774841,0.0298914206718
954.421073045,1170.11099185,0.0358418847748
1123.74489154,1362.27447772,0.0316107271105
1277.49521717,2599.06695689,0.154693058694
1434.98793907,2371.78549606,0.117305126308
1489.911243,1366.36359586,0.0348865357265
1596.72088334,1777.88270987,0.0265675595332
